episode,rewards_total
1,35.3191234267
2,35.3203296132
3,35.334473785
4,28.5111800027
5,27.3765066447
6,35.3621000597
7,30.8033399236
8,27.383769004
9,27.3878113865
10,27.388403566
11,29.6713503766
12,27.3888665337
13,27.3866212314
14,25.1068089459
15,29.667137588
16,30.8009894386
17,26.2456646056
18,29.6722149188
19,27.3890050829
20,27.3888475458
21,29.6686374775
22,28.5279473173
23,28.5304059797
24,28.5235437601
25,28.5287764013
26,27.3883747533
27,30.7974639525
28,26.2414415833
29,26.2452179503
30,29.6639600719
31,28.5265576331
32,28.5243436198
33,26.2415514059
34,26.237606351
35,26.2426189153
36,25.1028788703
37,25.1031592092
38,27.382246274
39,25.102755255
40,25.0990031585
41,23.962236869
42,23.9622626853
43,26.2386312873
44,25.102020303
45,30.8033447754
46,29.6711068254
47,25.1049519643
48,28.5280497201
49,31.9414790648
50,33.081710549
51,27.38356111
52,36.5145416532
53,33.0862394195
54,28.5297139037
55,28.5291380289
56,28.5288559585
57,28.5292957555
58,30.8037291762
59,28.5273207748
60,29.665604528
61,30.8121944683
62,29.670761473
63,33.086391229
64,34.2143116355
65,23.9585425684
66,25.1010890311
67,27.3883604987
68,25.0982880003
69,26.2351651888
70,29.6576803766
71,29.6704566383
72,27.3838312092
73,27.3811256883
74,28.5200587
75,27.3817857545
76,28.5220015225
77,27.3884706229
78,27.3891401122
79,28.5291701224
80,28.5286568453
81,28.5281614374
82,28.5223874214
83,25.1047535179
84,26.2447412469
85,28.5283997206
86,27.3878595641
87,28.5265651197
88,27.3828163593
89,28.5229773708
90,28.5238930435
91,28.5249451328
92,27.3840706104
93,26.2442426937
94,26.2443718819
95,26.2439380377
96,29.669282183
97,28.5309353649
98,28.5303167369
99,28.5299150623
100,28.529762494
101,28.5301669291
102,28.5298914846
103,28.5297227054
104,28.5305218278
105,28.5290438602
106,27.3873893286
107,29.6681614333
108,29.6713450748
109,27.3860793468
110,26.2468117895
111,28.5283489278
112,27.3867124934
113,28.5277906894
114,28.5264704625
115,27.3878443502
116,27.3897556083
117,28.5282792677
118,26.2462309359
119,28.5258129004
120,29.6749777613
121,26.2460380701
122,26.2471249512
123,26.246274519
124,26.2460756858
125,28.5258590002
126,27.3878739383
127,26.2490675453
128,26.2507310595
129,30.8091065745
130,29.6678939953
131,29.6675440636
132,29.6685649972
133,29.6689780339
134,29.6668176717
135,29.6665825732
136,29.6691299014
137,33.0958475812
138,30.8123148218
139,28.5303772235
140,28.5322699444
141,29.6733579649
142,28.5335138085
143,28.5325872232
144,28.5327947737
145,28.5319071705
146,28.52711525
147,27.3885292095
148,26.2484466953
149,26.2492236841
150,28.5299280678
151,27.3919347519
152,27.3907052253
153,27.390234029
154,27.3898501047
155,26.2505794907
156,26.2504605389
157,26.2503982015
158,26.2503716922
159,26.2503590647
160,26.2503386719
161,26.2502956232
162,26.2502386932
163,26.2496026648
164,26.2495959294
165,26.2495715621
166,26.249564137
167,26.2495558924
168,26.2495552694
169,26.2495447767
170,26.2495363089
171,26.2495333849
172,26.2495302817
173,26.2495183542
174,26.2495180521
175,26.2495227246
176,26.2495125026
177,26.249514713
178,26.2495154499
179,26.2495120482
180,26.249514007
181,26.249509753
182,26.2494950123
183,26.2494944411
184,26.2494939675
185,26.2495014627
186,26.2495043856
187,26.2494899401
188,26.2494884687
189,26.2494885678
190,26.2494895462
191,26.249489488
192,26.2494901189
193,26.2495045518
194,26.249492759
195,26.2494963848
196,26.2494967894
197,26.2495109497
198,26.2494973891
199,26.2495101688
200,26.2495112955
201,26.2494951201
202,26.2495084485
203,26.2495085721
204,26.2495066083
205,26.2495082385
206,26.2495104961
207,26.249514935
208,26.2495000213
209,26.2495108568
210,26.2495072935
211,26.2495238011
212,26.2495211176
213,26.2495157888
214,26.249500076
215,26.2495180098
216,26.2495169698
217,26.2495068719
218,26.2495216643
219,26.2495086442
220,26.2495057615
221,26.24951333
222,26.2495180711
223,26.2495204298
224,26.2495214258
225,26.2495201098
226,26.2495160764
227,26.2495193363
228,26.2495162193
229,26.2495037596
230,26.2495125932
231,26.2495158796
232,26.2495176465
233,26.2495195411
234,26.2495134483
235,26.2495145474
236,26.2495049288
237,26.2495229081
238,26.249509594
239,26.2495189358
240,26.2495190142
241,26.2495224937
242,26.2495215612
243,26.2495232539
244,26.2495220802
245,26.2495074812
246,26.2495127262
247,26.249509892
248,26.2495060504
249,26.2495233818
250,26.2495206004
251,26.2495202611
252,26.2495203142
253,26.2495045952
254,26.2495063832
255,26.2495077337
256,26.2495073194
257,26.2495192519
258,26.2495188765
259,26.2495158754
260,26.2495154532
261,26.249502974
262,26.2495180913
263,26.249518081
264,26.2495173889
265,26.2495040209
266,26.2495212858
267,26.249520129
268,26.2495186719
269,26.2495166396
270,26.2495198211
271,26.2495204961
272,26.249521576
273,26.2495215247
274,26.2495243828
275,26.2495255753
276,26.2495257226
277,26.2495217545
278,26.2495271576
279,26.2495125508
280,26.2495286317
281,26.2495314844
282,26.2495244183
283,26.2495323192
284,26.2495302577
285,26.2495138482
286,26.2495278074
287,26.2495276959
288,26.2495130201
289,26.2495125491
290,26.2495273584
291,26.2495295051
292,26.2495332607
293,26.249526682
294,26.2495322115
295,26.2495258662
296,26.2495262921
297,26.2495280678
298,26.2495275263
299,26.2495325753
300,26.2495316387
301,26.2495279465
302,26.2495294805
303,26.2495301715
304,26.2495282815
305,26.2495289344
306,26.2495284519
307,26.2495291774
308,26.2495153449
309,26.2495171375
310,26.2495294349
311,26.2495311832
312,26.2495329636
313,26.2495140776
314,26.249532372
315,26.2495166724
316,26.249514933
317,26.2495308473
318,26.2495289333
319,26.2495168509
320,26.2495279003
321,26.2495297263
322,26.2495290224
323,26.2495323911
324,26.2495331347
325,26.2495272722
326,26.2495145598
327,26.2495311973
328,26.2495276746
329,26.2495306774
330,26.2495317538
331,26.2495290231
332,26.2495285995
333,26.2495291177
334,26.2495309657
335,26.2495303478
336,26.2495180172
337,26.2495273109
338,26.249532615
339,26.2495185029
340,26.2495285042
341,26.2495298736
342,26.2495183961
343,26.2495291525
344,26.2495184508
345,26.249530171
346,26.2495296787
347,26.2495192353
348,26.2495127717
349,26.2495159747
350,26.2495338791
351,26.2495288175
352,26.2495301394
353,26.249530599
354,26.2495179227
355,26.2495307668
356,26.2495275646
357,26.249527169
358,26.2495287745
359,26.2495314104
360,26.2495320512
361,26.249518003
362,26.2495282697
363,26.2495170556
364,26.2495186954
365,26.2495306884
366,26.2495154392
367,26.2495194448
368,26.2495282747
369,26.2495299519
370,26.2495271362
371,26.2495221186
372,26.2495320522
373,26.2495292908
374,26.2495325317
375,26.2495296303
376,26.2495329354
377,26.2495177038
378,26.2495268438
379,26.2495302809
380,26.2495293624
381,26.2495159274
382,26.2495319052
383,26.249532383
384,26.2495325942
385,26.2495251363
386,26.2495303516
387,26.2495315869
388,26.2495296319
389,26.2495283709
390,26.2495283668
391,26.2495294604
392,26.2495292423
393,26.2495274586
394,26.2495304106
395,26.2495303252
396,26.249527989
397,26.2495314133
398,26.2495292032
399,26.2495296975
400,26.2495169762
401,26.2495302948
402,26.2495324551
403,26.2495264091
404,26.2495289898
405,26.2495272129
406,26.2495156424
407,26.2495275324
408,26.2495164723
409,26.2495301562
410,26.2495297646
411,26.2495269294
412,26.2495273155
413,26.2495293633
414,26.2495283566
415,26.2495292767
416,26.249514618
417,26.2495313456
418,26.249527232
419,26.2495166745
420,26.2495302717
421,26.2495281931
422,26.2495275822
423,26.2495288004
424,26.2495286854
425,26.2495301831
426,26.2495301819
427,26.2495273565
428,26.2495266316
429,26.2495303446
430,26.2495146578
431,26.2495279072
432,26.2495305617
433,26.2495283266
434,26.2495279521
435,26.2495297621
436,26.2495293322
437,26.2495229851
438,26.2495145631
439,26.2495294607
440,26.2495249179
441,26.2495298388
442,26.2495132903
443,26.2495164582
444,26.2495296642
445,26.2495294481
446,26.2495309554
447,26.2495287301
448,26.249525116
449,26.2495322273
450,26.2495289436
451,26.2495277832
452,26.2495318662
453,26.249516211
454,26.2495291695
455,26.2495187621
456,26.2495269622
457,26.2495189941
458,26.2495301528
459,26.2495330151
460,26.2495179767
461,26.2495297304
462,26.2495301645
463,26.2495311024
464,26.2495296786
465,26.249517181
466,26.2495156446
467,26.2495309099
468,26.2495330997
469,26.2495133998
470,26.2495187602
471,26.2495312462
472,26.2495174681
473,26.2495287013
474,26.2495292909
475,26.2495174981
476,26.2495315131
477,26.2495307427
478,26.2495300287
479,26.2495179622
480,26.2495202113
481,26.2495282899
482,26.249529996
483,26.2495297137
484,26.2495174385
485,26.2495196134
486,26.2495286277
487,26.2495324282
488,26.2495321196
489,26.2495306566
490,26.2495307278
491,26.2495181958
492,26.2495315804
493,26.2495288558
494,26.2495181868
495,26.2495180173
496,26.2495209704
497,26.2495286521
498,26.2495303221
499,26.2495301964
500,26.2495345369
501,26.249526783
502,26.2495306688
503,26.2495166078
504,26.2495301205
505,26.2495317453
506,26.2495261511
507,26.2495285159
508,26.2495301934
509,26.2495170826
510,26.2495254353
511,26.2495301052
512,26.2495270055
513,26.2495302483
514,26.249517207
515,26.2495169538
516,26.2495316506
517,26.2495290979
518,26.2495271859
519,26.2495294125
520,26.2495288484
521,26.2495308827
522,26.2495147016
523,26.2495304176
524,26.2495298077
525,26.2495313183
526,26.2495171147
527,26.249513838
528,26.2495151784
529,26.2495336492
530,26.249514771
531,26.2495297633
532,26.2495271773
533,26.2495254688
534,26.2495315612
535,26.2495149056
536,26.2495134388
537,26.2495151043
538,26.2495307816
539,26.249516306
540,26.2495289237
541,26.2495319793
542,26.2495295615
543,26.2495169265
544,26.249528248
545,26.2495280865
546,26.2495296949
547,26.2495166454
548,26.2495159237
549,26.2495146132
550,26.249528354
551,26.2495268955
552,26.2495152202
553,26.2495305166
554,26.2495277196
555,26.2495287502
556,26.2495296097
557,26.2495299276
558,26.2495268851
559,26.2495302124
560,26.2495288392
561,26.2495293797
562,26.2495133243
563,26.2495282158
564,26.2495348739
565,26.2495298598
566,26.2495323547
567,26.2495286138
568,26.2495290708
569,26.2495304641
570,26.2495306102
571,26.2495298518
572,26.2495306394
573,26.2495293756
574,26.2495170187
575,26.2495305012
576,26.2495180637
577,26.2495287259
578,26.2495274594
579,26.249527523
580,26.2495271878
581,26.2495251684
582,26.2495176105
583,26.2495308322
584,26.249517321
585,26.2495274099
586,26.2495278335
587,26.2495301689
588,26.2495312709
589,26.2495306236
590,26.2495280273
591,26.2495293365
592,26.2495176098
593,26.2495303999
594,26.2495276202
595,26.2495166749
596,26.2495298656
597,26.2495131138
598,26.249528473
599,26.2495170442
600,26.2495304702
601,26.2495275473
602,26.2495282462
603,26.2495202584
604,26.2495205787
605,26.2495274791
606,26.2495211469
607,26.2495263931
608,26.2495252365
609,26.2495284036
610,26.2495297155
611,26.2495326023
612,26.2495302054
613,26.2495326008
614,26.2495327572
615,26.2495262695
616,26.2495291866
617,26.2495283132
618,26.2495319861
619,26.2495286589
620,26.2495293083
621,26.2495326007
622,26.2495294453
623,26.2495276837
624,26.2495282088
625,26.2495313373
626,26.2495314096
627,26.2495142982
628,26.2495172392
629,26.249513876
630,26.2495290561
631,26.2495290182
632,26.2495291419
633,26.2495290519
634,26.2495296378
635,26.2495283179
636,26.2495281007
637,26.2495279055
638,26.2495314216
639,26.2495290549
640,26.2495248578
641,26.2495306901
642,26.2495286247
643,26.2495187386
644,26.249530164
645,26.2495285982
646,26.2495257184
647,26.2495277837
648,26.2495326881
649,26.2495288428
650,26.2495155769
651,26.2495308473
652,26.2495159815
653,26.2495212761
654,26.2495167206
655,26.2495299078
656,26.2495297444
657,26.2495294254
658,26.2495273474
659,26.2495163937
660,26.2495280834
661,26.2495328776
662,26.2495298256
663,26.2495324462
664,26.2495266628
665,26.2495307111
666,26.2495292729
667,26.2495317644
668,26.2495278481
669,26.2495272809
670,26.2495150473
671,26.249528017
672,26.2495183458
673,26.2495272694
674,26.2495310804
675,26.2495293634
676,26.2495269973
677,26.249532282
678,26.2495294175
679,26.2495278339
680,26.2495259884
681,26.2495275573
682,26.2495281009
683,26.2495287147
684,26.2495291375
685,26.2495289172
686,26.2495285841
687,26.249520575
688,26.249529354
689,26.2495275998
690,26.2495297099
691,26.2495175747
692,26.2495293984
693,26.2495178565
694,26.2495309196
695,26.2495311545
696,26.249526733
697,26.2495175591
698,26.2495340121
699,26.2495311146
700,26.2495192217
701,26.2495303535
702,26.2495268455
703,26.2495318253
704,26.2495308196
705,26.2495285366
706,26.2495295491
707,26.2495151513
708,26.2495183549
709,26.2495296106
710,26.249526094
711,26.2495292644
712,26.2495189071
713,26.2495311142
714,26.2495296199
715,26.2495201336
716,26.2495275775
717,26.2495252965
718,26.2495165355
719,26.2495194005
720,26.2495180141
721,26.2495164295
722,26.2495151781
723,26.249528124
724,26.2495268989
725,26.2495318951
726,26.24952997
727,26.2495152252
728,26.2495302913
729,26.2495159936
730,26.2495313646
731,26.2495268681
732,26.2495286755
733,26.24951546
734,26.2495305305
735,26.2495275642
736,26.2495162504
737,26.2495308916
738,26.2495288827
739,26.2495288248
740,26.2495167304
741,26.2495289814
742,26.2495303213
743,26.2495298308
744,26.2495302959
745,26.2495304779
746,26.2495305697
747,26.2495279479
748,26.2495313235
749,26.249527189
750,26.2495294881
751,26.2495189417
752,26.2495168297
753,26.2495163486
754,26.2495144375
755,26.2495282007
756,26.2495268023
757,26.2495284049
758,26.2495290402
759,26.2495282139
760,26.2495279686
761,26.2495188161
762,26.2495273179
763,26.2495277429
764,26.2495183752
765,26.2495305632
766,26.2495288358
767,26.2495179363
768,26.2495333083
769,26.2495158327
770,26.249516595
771,26.2495309266
772,26.2495191319
773,26.24952919
774,26.2495254821
775,26.2495336751
776,26.2495309429
777,26.2495292756
778,26.2495150802
779,26.2495157542
780,26.2495172579
781,26.2495307405
782,26.2495306185
783,26.2495200674
784,26.2495321846
785,26.249532729
786,26.2495267866
787,26.2495287775
788,26.249516277
789,26.2495297356
790,26.2495234995
791,26.2495295665
792,26.2495321638
793,26.2495292515
794,26.2495269372
795,26.2495185994
796,26.2495202561
797,26.2495297101
798,26.2495138063
799,26.2495320034
800,26.2495182038
801,26.249528676
802,26.2495279132
803,26.2495308122
804,26.2495148903
805,26.2495302821
806,26.2495331536
807,26.2495292832
808,26.2495147496
809,26.2495298949
810,26.2495301531
811,26.2495183782
812,26.2495164398
813,26.2495156204
814,26.2495138476
815,26.2495156241
816,26.2495295008
817,26.249520222
818,26.2495287334
819,26.2495322771
820,26.2495128533
821,26.2495323169
822,26.2495115373
823,26.2495149644
824,26.2495273386
825,26.2495168443
826,26.2495280257
827,26.24953151
828,26.2495285709
829,26.2495297338
830,26.2495265164
831,26.2495307424
832,26.2495164583
833,26.2495295791
834,26.2495316934
835,26.2495182867
836,26.2495255262
837,26.2495281966
838,26.2495288641
839,26.2495290701
840,26.249527922
841,26.2495297116
842,26.249527923
843,26.2495333736
844,26.249515885
845,26.2495248498
846,26.249517686
847,26.2495270311
848,26.2495295941
849,26.249526698
850,26.2495312437
851,26.2495319735
852,26.2495275648
853,26.2495314621
854,26.2495295392
855,26.2495324718
856,26.2495280333
857,26.2495273596
858,26.2495301893
859,26.2495292942
860,26.2495185687
861,26.2495304826
862,26.2495276931
863,26.2495193625
864,26.2495288183
865,26.2495275663
866,26.2495308269
867,26.249530656
868,26.2495337085
869,26.2495288626
870,26.249532602
871,26.2495322263
872,26.249533807
873,26.2495319017
874,26.2495272921
875,26.2495311143
876,26.2495315301
877,26.2495270054
878,26.249530339
879,26.2495308502
880,26.2495325534
881,26.2495256958
882,26.249527006
883,26.2495178797
884,26.2495299315
